ID, ParentID, Kind, What, Where, Start, End
flit-0-msg-3-7_PCIe.Switch[0], flit-0-msg-3-7_e2e, flit, flit_inside_sw, PCIe.Switch[0], 0.0000000050, 0.0000001480
flit-0-msg-3-7_PCIe.Switch[1], flit-0-msg-3-7_e2e, flit, flit_inside_sw, PCIe.Switch[1], 0.0000001490, 0.0000002920
flit-0-msg-3-7_e2e, msg_3_e2e, flit_e2e, flit_e2e, PCIe.EndPoint[0].FlitBuf, 0.0000000030, 0.0000002930
msg_3_e2e, 3_req_out, msg_e2e, msg_e2e, PCIe.EndPoint[0], 0.0000000020, 0.0000002950
345, 329, cmd, Activate, GPU[1].DRAM[0].Bank[0][0][1], 0.0000003040, 0.0000003180
348, 338, cmd, Activate, GPU[1].DRAM[1].Bank[0][0][1], 0.0000003060, 0.0000003200
363, 329, cmd, WritePrecharge, GPU[1].DRAM[0].Bank[0][0][1], 0.0000003180, 0.0000003320
329, 319@GPU[1].DRAM[0], sub-trans, sub-trans, GPU[1].DRAM[0].SubTransQueue, 0.0000003000, 0.0000003320
365, 338, cmd, WritePrecharge, GPU[1].DRAM[1].Bank[0][0][1], 0.0000003200, 0.0000003340
338, 321@GPU[1].DRAM[1], sub-trans, sub-trans, GPU[1].DRAM[1].SubTransQueue, 0.0000003020, 0.0000003340
319@GPU[1].DRAM[0], 319_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[0], 0.0000003000, 0.0000003340
319@GPU[1].DRAM[0], 319_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[0], 0.0000003000, 0.0000003340
319_req_out, 313@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000002980, 0.0000003350
321@GPU[1].DRAM[1], 321_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[1], 0.0000003020, 0.0000003360
321@GPU[1].DRAM[1], 321_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[1], 0.0000003020, 0.0000003360
321_req_out, 313@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000002980, 0.0000003370
413, 336, cmd, Activate, GPU[1].DRAM[0].Bank[0][0][1], 0.0000003560, 0.0000003700
415, 343, cmd, Activate, GPU[1].DRAM[1].Bank[0][0][1], 0.0000003580, 0.0000003720
429, 336, cmd, WritePrecharge, GPU[1].DRAM[0].Bank[0][0][1], 0.0000003700, 0.0000003840
336, 320@GPU[1].DRAM[0], sub-trans, sub-trans, GPU[1].DRAM[0].SubTransQueue, 0.0000003020, 0.0000003840
431, 343, cmd, WritePrecharge, GPU[1].DRAM[1].Bank[0][0][1], 0.0000003720, 0.0000003860
343, 322@GPU[1].DRAM[1], sub-trans, sub-trans, GPU[1].DRAM[1].SubTransQueue, 0.0000003040, 0.0000003860
320@GPU[1].DRAM[0], 320_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[0], 0.0000003020, 0.0000003860
320@GPU[1].DRAM[0], 320_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[0], 0.0000003020, 0.0000003860
320_req_out, 313@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000002980, 0.0000003870
322@GPU[1].DRAM[1], 322_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[1], 0.0000003040, 0.0000003880
322@GPU[1].DRAM[1], 322_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[1], 0.0000003040, 0.0000003880
322_req_out, 313@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000002980, 0.0000003890
313@GPU[1].DMA, 313_req_out, req_in, *protocol.MemCopyH2DReq, GPU[1].DMA, 0.0000002980, 0.0000003890
3@GPU[1].CommandProcessor, 3_req_out, req_in, *protocol.MemCopyH2DReq, GPU[1].CommandProcessor, 0.0000002960, 0.0000003910
flit-0-msg-467-473_PCIe.Switch[1], flit-0-msg-467-473_e2e, flit, flit_inside_sw, PCIe.Switch[1], 0.0000003950, 0.0000005380
flit-0-msg-467-473_PCIe.Switch[0], flit-0-msg-467-473_e2e, flit, flit_inside_sw, PCIe.Switch[0], 0.0000005390, 0.0000006820
flit-0-msg-467-473_e2e, msg_467_e2e, flit_e2e, flit_e2e, PCIe.EndPoint[1].FlitBuf, 0.0000003930, 0.0000006830
msg_467_e2e, 3_req_out, msg_e2e, msg_e2e, PCIe.EndPoint[1], 0.0000003920, 0.0000006850
3_req_out, 1, req_out, *protocol.MemCopyH2DReq, Driver, 0.0000000010, 0.0000006860
1, chfpc2i4pf1k8ulm71ug, Driver Command, *driver.MemCopyH2DCommand, Driver, 0.0000000010, 0.0000006860
flit-0-msg-801-805_PCIe.Switch[0], flit-0-msg-801-805_e2e, flit, flit_inside_sw, PCIe.Switch[0], 0.0000006920, 0.0000008350
flit-0-msg-801-805_PCIe.Switch[1], flit-0-msg-801-805_e2e, flit, flit_inside_sw, PCIe.Switch[1], 0.0000008360, 0.0000009790
flit-0-msg-801-805_e2e, msg_801_e2e, flit_e2e, flit_e2e, PCIe.EndPoint[0].FlitBuf, 0.0000006900, 0.0000009800
msg_801_e2e, 801_req_out, msg_e2e, msg_e2e, PCIe.EndPoint[0], 0.0000006890, 0.0000009820
1127, 1123, cmd, Activate, GPU[1].DRAM[0].Bank[0][0][2], 0.0000009920, 0.0000010060
1135, 1123, cmd, WritePrecharge, GPU[1].DRAM[0].Bank[0][0][2], 0.0000010060, 0.0000010200
1123, 1117@GPU[1].DRAM[0], sub-trans, sub-trans, GPU[1].DRAM[0].SubTransQueue, 0.0000009880, 0.0000010200
1117@GPU[1].DRAM[0], 1117_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[0], 0.0000009880, 0.0000010220
1117@GPU[1].DRAM[0], 1117_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[0], 0.0000009880, 0.0000010220
1117_req_out, 1111@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000009850, 0.0000010230
1111@GPU[1].DMA, 1111_req_out, req_in, *protocol.MemCopyH2DReq, GPU[1].DMA, 0.0000009850, 0.0000010230
801@GPU[1].CommandProcessor, 801_req_out, req_in, *protocol.MemCopyH2DReq, GPU[1].CommandProcessor, 0.0000009830, 0.0000010250
flit-0-msg-1156-1161_PCIe.Switch[1], flit-0-msg-1156-1161_e2e, flit, flit_inside_sw, PCIe.Switch[1], 0.0000010290, 0.0000011720
flit-0-msg-1156-1161_PCIe.Switch[0], flit-0-msg-1156-1161_e2e, flit, flit_inside_sw, PCIe.Switch[0], 0.0000011730, 0.0000013160
flit-0-msg-1156-1161_e2e, msg_1156_e2e, flit_e2e, flit_e2e, PCIe.EndPoint[1].FlitBuf, 0.0000010270, 0.0000013170
msg_1156_e2e, 801_req_out, msg_e2e, msg_e2e, PCIe.EndPoint[1], 0.0000010260, 0.0000013190
801_req_out, 799, req_out, *protocol.MemCopyH2DReq, Driver, 0.0000006880, 0.0000013200
799, chfpc2i4pf1k8ulm71ug, Driver Command, *driver.MemCopyH2DCommand, Driver, 0.0000006880, 0.0000013200
flit-0-msg-1484-1488_PCIe.Switch[0], flit-0-msg-1484-1488_e2e, flit, flit_inside_sw, PCIe.Switch[0], 0.0000013260, 0.0000014690
flit-0-msg-1484-1488_PCIe.Switch[1], flit-0-msg-1484-1488_e2e, flit, flit_inside_sw, PCIe.Switch[1], 0.0000014700, 0.0000016130
flit-0-msg-1484-1488_e2e, msg_1484_e2e, flit_e2e, flit_e2e, PCIe.EndPoint[0].FlitBuf, 0.0000013240, 0.0000016140
msg_1484_e2e, 1484_req_out, msg_e2e, msg_e2e, PCIe.EndPoint[0], 0.0000013230, 0.0000016160
1838, 1815, cmd, Activate, GPU[1].DRAM[0].Bank[0][2][2], 0.0000016260, 0.0000016400
1847, 1822, cmd, Activate, GPU[1].DRAM[1].Bank[0][2][2], 0.0000016280, 0.0000016420
1855, 1832, cmd, Activate, GPU[1].DRAM[2].Bank[0][2][2], 0.0000016300, 0.0000016440
1862, 1845, cmd, Activate, GPU[1].DRAM[3].Bank[0][2][2], 0.0000016320, 0.0000016460
1882, 1815, cmd, WritePrecharge, GPU[1].DRAM[0].Bank[0][2][2], 0.0000016400, 0.0000016540
1815, 1800@GPU[1].DRAM[0], sub-trans, sub-trans, GPU[1].DRAM[0].SubTransQueue, 0.0000016220, 0.0000016540
1888, 1822, cmd, WritePrecharge, GPU[1].DRAM[1].Bank[0][2][2], 0.0000016420, 0.0000016560
1822, 1802@GPU[1].DRAM[1], sub-trans, sub-trans, GPU[1].DRAM[1].SubTransQueue, 0.0000016240, 0.0000016560
1800@GPU[1].DRAM[0], 1800_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[0], 0.0000016220, 0.0000016560
1800@GPU[1].DRAM[0], 1800_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[0], 0.0000016220, 0.0000016560
1800_req_out, 1794@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000016190, 0.0000016570
1893, 1832, cmd, WritePrecharge, GPU[1].DRAM[2].Bank[0][2][2], 0.0000016440, 0.0000016580
1832, 1804@GPU[1].DRAM[2], sub-trans, sub-trans, GPU[1].DRAM[2].SubTransQueue, 0.0000016260, 0.0000016580
1802@GPU[1].DRAM[1], 1802_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[1], 0.0000016240, 0.0000016580
1802@GPU[1].DRAM[1], 1802_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[1], 0.0000016240, 0.0000016580
1802_req_out, 1794@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000016190, 0.0000016590
1897, 1845, cmd, WritePrecharge, GPU[1].DRAM[3].Bank[0][2][2], 0.0000016460, 0.0000016600
1845, 1806@GPU[1].DRAM[3], sub-trans, sub-trans, GPU[1].DRAM[3].SubTransQueue, 0.0000016280, 0.0000016600
1804@GPU[1].DRAM[2], 1804_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[2], 0.0000016260, 0.0000016600
1804@GPU[1].DRAM[2], 1804_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[2], 0.0000016260, 0.0000016600
1804_req_out, 1794@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000016190, 0.0000016610
1806@GPU[1].DRAM[3], 1806_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[3], 0.0000016280, 0.0000016620
1806@GPU[1].DRAM[3], 1806_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[3], 0.0000016280, 0.0000016620
1806_req_out, 1794@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000016190, 0.0000016630
1983, 1826, cmd, Activate, GPU[1].DRAM[0].Bank[0][2][2], 0.0000016780, 0.0000016920
1988, 1836, cmd, Activate, GPU[1].DRAM[1].Bank[0][2][2], 0.0000016800, 0.0000016940
1990, 1852, cmd, Activate, GPU[1].DRAM[2].Bank[0][2][2], 0.0000016820, 0.0000016960
1995, 1859, cmd, Activate, GPU[1].DRAM[3].Bank[0][2][2], 0.0000016840, 0.0000016980
2013, 1826, cmd, WritePrecharge, GPU[1].DRAM[0].Bank[0][2][2], 0.0000016920, 0.0000017060
1826, 1801@GPU[1].DRAM[0], sub-trans, sub-trans, GPU[1].DRAM[0].SubTransQueue, 0.0000016240, 0.0000017060
1801@GPU[1].DRAM[0], 1801_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[0], 0.0000016240, 0.0000017080
1801@GPU[1].DRAM[0], 1801_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[0], 0.0000016240, 0.0000017080
2018, 1836, cmd, WritePrecharge, GPU[1].DRAM[1].Bank[0][2][2], 0.0000016940, 0.0000017080
1836, 1803@GPU[1].DRAM[1], sub-trans, sub-trans, GPU[1].DRAM[1].SubTransQueue, 0.0000016260, 0.0000017080
1801_req_out, 1794@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000016190, 0.0000017090
2024, 1852, cmd, WritePrecharge, GPU[1].DRAM[2].Bank[0][2][2], 0.0000016960, 0.0000017100
1852, 1805@GPU[1].DRAM[2], sub-trans, sub-trans, GPU[1].DRAM[2].SubTransQueue, 0.0000016280, 0.0000017100
1803@GPU[1].DRAM[1], 1803_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[1], 0.0000016260, 0.0000017100
1803@GPU[1].DRAM[1], 1803_req_out, req_in, *mem.WriteReq, GPU[1].DRAM[1], 0.0000016260, 0.0000017100
1803_req_out, 1794@GPU[1].DMA, req_out, *mem.WriteReq, GPU[1].DMA, 0.0000016190, 0.0000017110
